MoveReg  Version 3.01
Execution at 11:39, 28-JUN-2019
series: varName                 
series begins: 2012 week: 26
series ends:   2019 week: 22
output file: results.out         

wk  year          sa   safactor        obs    outlier
 0     0      16097.     0.9948     16013.     1.0000
 0     0      16121.     0.9963     16061.     1.0000
 0     0      16156.     0.9981     16125.     1.0000
 0     0      16193.     1.0008     16206.     1.0000
 0     0      16206.     1.0020     16238.     1.0000
 0     0      16225.     1.0028     16270.     1.0000
 0     0      16239.     1.0030     16287.     1.0000
 0     0      16242.     1.0037     16303.     1.0000
 0     0      16256.     1.0039     16319.     1.0000
 0     0      16264.     1.0044     16336.     1.0000
 0     0      16281.     1.0044     16352.     1.0000
 0     0      16299.     1.0042     16368.     1.0000
 0     0      16314.     1.0044     16385.     1.0000
 0     0      16332.     1.0042     16401.     1.0000
 0     0      16349.     1.0042     16417.     1.0000
 0     0      16353.     1.0039     16417.     1.0000
 0     0      16356.     1.0037     16417.     1.0000
 0     0      16373.     1.0037     16434.     1.0000
 0     0      16384.     1.0040     16450.     1.0000
 0     0      16400.     1.0041     16467.     1.0000
 0     0      16415.     1.0041     16483.     1.0000
 0     0      16431.     1.0042     16500.     1.0000
 0     0      16451.     1.0040     16516.     1.0000
 0     0      16465.     1.0041     16533.     1.0000
 0     0      16473.     1.0036     16533.     1.0000
